City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
153,Sunggal,ID,80.58,scattered clouds,3.5765,98.6151,Saka Hotel Medan
156,Port Blair,IN,84.24,haze,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
163,Luanda,AO,82.13,light rain,-8.8368,13.2343,EPIC SANA Luanda
164,Gizo,SB,82.54,light rain,-8.103,156.8419,Imagination Island
165,Mayumba,GA,81.73,overcast clouds,-3.432,10.6554,LIKWALE LODGE
168,Sola,VU,81.72,broken clouds,-13.8833,167.55,Leumerus Bungalows
171,Araripina,BR,84.18,overcast clouds,-7.5761,-40.4983,Hotel Eco Recanto da Serra
172,Monteagudo,BO,80.22,scattered clouds,-19.8167,-63.9833,"Residencial ""OLIVIA"""
174,Kupang,ID,77.56,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
175,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
181,Conde,BR,83.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
183,Ca Mau,VN,78.39,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
184,Beira,MZ,78.89,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
199,Palmas,BR,84.07,few clouds,-10.2128,-48.3603,Hotel Lago da Palma
201,Paka,MY,80.53,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
204,Sao Geraldo Do Araguaia,BR,82.22,overcast clouds,-6.4006,-48.555,Hotel Por do Sol
205,Victoria,HK,76.32,clear sky,22.2855,114.1577,Mini Hotel Central
209,Aloleng,PH,81.3,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
210,Kavieng,PG,82.35,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
214,Coahuayana,MX,79.21,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
218,Gat,IL,82.4,clear sky,31.61,34.7642,OlusHome
223,Lubango,AO,78.66,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
224,Butaritari,KI,80.04,moderate rain,3.0707,172.7902,Isles Sunset Lodge
