City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Shawnee,US,2022-04-10 03:35:29,39.05,-95.7669,57.65,39,0,12.66
162,Norman Wells,CA,2022-04-10 03:35:21,65.282,-126.8329,14.04,57,75,12.66
163,Pochutla,MX,2022-04-10 03:35:30,15.7432,-96.4661,79.83,65,50,3.0
164,Salta,AR,2022-04-10 03:35:30,-24.7859,-65.4117,65.57,85,75,2.3
165,Constitucion,CL,2022-04-10 03:35:30,-35.3333,-72.4167,52.56,95,10,6.87
166,Bulolo,PG,2022-04-10 03:35:30,-7.2,146.65,78.35,89,96,3.67
167,Mount Gambier,AU,2022-04-10 03:32:15,-37.8333,140.7667,80.51,28,75,19.57
168,Payo,ID,2022-04-10 03:35:31,-3.7508,103.6372,89.71,53,88,2.06
169,Shelburne,CA,2022-04-10 03:35:31,44.0787,-80.2041,31.91,91,92,11.83
170,Aksu,CN,2022-04-10 03:35:32,41.1231,80.2644,72.16,19,76,2.42
171,Mar Del Plata,AR,2022-04-10 03:35:32,-38.0023,-57.5575,67.08,95,100,15.01
172,Sulphur,US,2022-04-10 03:33:13,30.2366,-93.3774,64.02,83,0,5.75
173,Hofn,IS,2022-04-10 03:35:32,64.2539,-15.2082,30.97,57,94,6.04
174,Severo-Kurilsk,RU,2022-04-10 03:35:33,50.6789,156.125,31.39,73,100,6.71
175,Klaksvik,FO,2022-04-10 03:35:33,62.2266,-6.589,32.92,62,99,20.09
176,Touros,BR,2022-04-10 03:35:33,-5.1989,-35.4608,78.03,89,100,10.8
177,Ponta Do Sol,PT,2022-04-10 03:35:34,32.6667,-17.1,62.71,75,39,9.44
178,Kodiak,US,2022-04-10 03:35:34,57.79,-152.4072,40.51,30,0,6.91
179,Esperance,AU,2022-04-10 03:35:34,-33.8667,121.9,71.44,53,92,12.19
180,Porto Walter,BR,2022-04-10 03:35:35,-8.2686,-72.7439,71.87,99,100,1.36
181,Atambua,ID,2022-04-10 03:35:35,-9.1061,124.8925,84.18,56,53,2.28
182,Bredasdorp,ZA,2022-04-10 03:35:35,-34.5322,20.0403,58.57,93,11,9.75
183,Yumen,CN,2022-04-10 03:30:58,40.2833,97.2,60.71,15,100,14.65
184,Ulaanbaatar,MN,2022-04-10 03:35:19,47.9077,106.8832,32.13,51,40,2.24
185,Canon City,US,2022-04-10 03:31:40,38.441,-105.2424,67.98,12,0,9.22
186,Portland,US,2022-04-10 03:33:47,45.5234,-122.6762,47.62,66,100,9.22
187,Los Alamos,US,2022-04-10 03:32:14,35.8881,-106.307,62.65,10,0,19.57
