City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Guru Har Sahai,IN,2022-04-10 13:44:22,30.7167,74.4167,93.42,7,0,3.65,clear sky
129,Okato,NZ,2022-04-10 13:44:22,-39.2,173.8833,52.92,88,6,3.42,clear sky
130,Hualmay,PE,2022-04-10 13:44:23,-11.0964,-77.6139,70.95,80,65,7.67,broken clouds
131,Flinders,AU,2022-04-10 13:44:23,-34.5833,150.8552,66.38,89,1,5.99,clear sky
132,Embrach,CH,2022-04-10 13:44:23,47.5056,8.5941,55.89,41,40,5.75,scattered clouds
133,Asfi,MA,2022-04-10 13:44:24,32.2994,-9.2372,64.38,77,100,10.4,overcast clouds
134,Vila Velha,BR,2022-04-10 13:40:42,-20.3297,-40.2925,82.35,78,75,11.5,broken clouds
135,Govindgarh,IN,2022-04-10 13:44:24,27.5,76.9833,96.57,7,4,8.63,clear sky
136,Motygino,RU,2022-04-10 13:44:24,58.1831,94.7592,26.33,96,100,9.37,light snow
137,Hot Springs,US,2022-04-10 13:40:23,34.5037,-93.0552,62.4,85,2,5.99,clear sky
138,Hilo,US,2022-04-10 13:41:04,19.7297,-155.09,71.26,93,100,6.91,overcast clouds
139,Pringsewu,ID,2022-04-10 13:44:25,-5.3582,104.9744,75.42,88,75,6.44,broken clouds
140,Ust-Omchug,RU,2022-04-10 13:44:25,61.15,149.6333,-17.01,99,79,3.71,broken clouds
141,Blackpool,GB,2022-04-10 13:44:25,53.8167,-3.05,56.34,50,20,6.91,few clouds
142,Dagda,LV,2022-04-10 13:44:26,56.0951,27.5372,45.14,51,63,11.81,broken clouds
143,Kedrovyy,RU,2022-04-10 13:44:26,56.1667,91.8167,28.87,90,100,6.51,light snow
144,Guerrero Negro,MX,2022-04-10 13:44:26,27.9769,-114.0611,60.53,90,37,1.99,scattered clouds
145,Batemans Bay,AU,2022-04-10 13:44:27,-35.7167,150.1833,67.1,87,5,4.36,clear sky
146,Krasnyy Chikoy,RU,2022-04-10 13:44:27,50.3643,108.7512,28.42,81,100,3.94,overcast clouds
147,Morant Bay,JM,2022-04-10 13:44:28,17.8815,-76.4093,83.71,67,80,5.06,broken clouds
148,Omboue,GA,2022-04-10 13:44:28,-1.5746,9.2618,82.85,71,100,8.34,overcast clouds
149,Tura,IN,2022-04-10 13:44:28,25.5198,90.2201,72.97,84,0,5.41,clear sky
150,Port Alfred,ZA,2022-04-10 13:40:27,-33.5906,26.891,66.18,89,100,5.01,overcast clouds
151,Makakilo City,US,2022-04-10 13:44:29,21.3469,-158.0858,73.72,75,100,8.05,overcast clouds
152,Ewa Beach,US,2022-04-10 13:44:29,21.3156,-158.0072,75.15,76,100,8.05,overcast clouds
153,Sunggal,ID,2022-04-10 13:44:30,3.5765,98.6151,80.58,88,40,5.75,scattered clouds
154,Beyneu,KZ,2022-04-10 13:44:30,45.3167,55.2,66.61,38,28,12.71,scattered clouds
155,Sitka,US,2022-04-10 13:42:13,57.0531,-135.33,31.89,80,0,4.61,clear sky
156,Port Blair,IN,2022-04-10 13:44:30,11.6667,92.75,84.24,74,40,2.3,haze
157,Omsukchan,RU,2022-04-10 13:44:31,62.5333,155.8,-19.5,100,78,4.88,broken clouds
158,Malanje,AO,2022-04-10 13:44:31,-9.5402,16.341,70.09,87,100,1.48,overcast clouds
159,Touros,BR,2022-04-10 13:42:40,-5.1989,-35.4608,85.95,66,62,14.79,broken clouds
160,Kapaa,US,2022-04-10 13:44:31,22.0752,-159.319,73.11,95,100,17.27,mist
161,Mount Isa,AU,2022-04-10 13:44:32,-20.7333,139.5,87.57,27,75,5.75,broken clouds
162,De Aar,ZA,2022-04-10 13:44:32,-30.6497,24.0123,56.34,78,100,10.11,light rain
163,Luanda,AO,2022-04-10 13:44:32,-8.8368,13.2343,82.13,73,88,9.51,light rain
164,Gizo,SB,2022-04-10 13:44:33,-8.103,156.8419,82.54,73,87,4.65,light rain
165,Mayumba,GA,2022-04-10 13:44:33,-3.432,10.6554,81.73,77,99,5.99,overcast clouds
166,Baruun-Urt,MN,2022-04-10 13:44:33,46.6806,113.2792,40.69,28,100,21.39,overcast clouds
167,Mumford,GH,2022-04-10 13:44:34,5.2618,-0.759,85.24,68,66,12.68,broken clouds
168,Sola,VU,2022-04-10 13:44:34,-13.8833,167.55,81.72,78,61,10.0,broken clouds
169,Lata,PT,2022-04-10 13:44:34,40.1629,-8.3327,73.49,40,8,15.66,clear sky
170,Jha Jha,IN,2022-04-10 13:44:35,24.7667,86.3667,90.91,16,0,6.93,clear sky
171,Araripina,BR,2022-04-10 13:44:35,-7.5761,-40.4983,84.18,59,97,7.63,overcast clouds
172,Monteagudo,BO,2022-04-10 13:44:35,-19.8167,-63.9833,80.22,55,25,4.21,scattered clouds
173,Talcahuano,CL,2022-04-10 13:44:36,-36.7167,-73.1167,55.08,76,40,10.36,scattered clouds
174,Kupang,ID,2022-04-10 13:44:36,-10.1667,123.5833,77.56,84,6,6.58,clear sky
175,Saint-Philippe,RE,2022-04-10 13:44:36,-21.3585,55.7679,80.19,83,54,14.72,light rain
176,Buraydah,SA,2022-04-10 13:44:36,26.326,43.975,91.85,8,70,8.61,broken clouds
177,Viedma,AR,2022-04-10 13:44:37,-40.8135,-62.9967,63.9,48,100,2.1,overcast clouds
178,Hammerfest,NO,2022-04-10 13:44:37,70.6634,23.6821,37.85,65,20,10.36,few clouds
179,Elesbao Veloso,BR,2022-04-10 13:44:37,-6.2019,-42.1403,85.8,66,41,1.97,scattered clouds
180,Bogorodskoye,RU,2022-04-10 13:44:38,56.55,37.8833,45.75,67,100,2.57,overcast clouds
181,Conde,BR,2022-04-10 13:44:38,-7.2597,-34.9075,83.66,79,75,8.05,broken clouds
182,Farah,AF,2022-04-10 13:44:38,32.5,62.5,86.31,6,100,6.17,overcast clouds
183,Ca Mau,VN,2022-04-10 13:44:39,9.1769,105.15,78.39,88,80,4.38,broken clouds
